Key,Example,Source,Context,Game Locations,vi,vi translator type,id,id translator type,it,it translator type,es,es translator type,pt,pt translator type,fr,fr translator type,de,de translator type,zh-hans,zh-hans translator type,ja,ja translator type,ko,ko translator type,ru,ru translator type,th,th translator type,tr,tr translator type,zh-hant,zh-hant translator type,pl,pl translator type
,,"Touch device",,"PlayerGui.Settings.SettingFrame.BaseFrame.MainLayer.MainSettings.Base.Input.Base.SmallTitle.TextLabel","Thiết bị chạm","User","Perangkat sentuh","Automation","Dispositivo tattile","Automation","Dispositivo táctil","Automation","Dispositivo de toque","Automation","Dispositif tactile","Automation","Berührungsgerät","Automation","触摸设备","Automation","タッチデバイス","Automation","터치 디바이스","Automation","Сенсорное устройство","Automation","อุปกรณ์สัมผัส","Automation","Dokunmatik cihaz","Automation","觸摸裝置","Automation","Urządzenie dotykowe","Automation"
,,"ps",,"PlayerGui.PlayScreen.PSEarned.AnimatedPSEarned.PSText.TextLabel","ps","Automation","ps","Automation","ps","Automation","ps","Automation","ps","Automation","ps","Automation","ps","Automation","ps","Automation","ps","Automation","ps","Automation","ps","Automation","พีเอส","Automation","ps","Automation","ps","Automation","ps","Automation"
,,"Remove this score",,"PlayerGui.DeveloperUI.MainUI.UI.RemoveScore","Xóa điểm này","Automation","Hapus skor ini","Automation","Rimuovi questo punteggio","Automation","Eliminar esta puntuación","Automation","Remover esta pontuação","Automation","Supprimer ce score","Automation","Entferne diese Punktzahl","Automation","移除此得分","Automation","このスコアを削除","Automation","이 점수 삭제","Automation","Удалить этот счет","Automation","ลบคะแนนนี้","Automation","Bu puanı kaldır","Automation","移除這個分數","Automation","Usuń ten wynik","Automation"
,,"DifficultyCalculator",,"PlayerGui.Explorer.MainFrame.MainFrame.Frame.ExplorerFrame.FileFrame.FileButton","Máy tính độ khó","Automation","Kalkulator Kesulitan","Automation","DifficoltàCalcolatore","Automation","Calculadora de Dificultad","Automation","Calculadora de Dificuldade","Automation","DifficultéCalculateur","Automation","SchwierigkeitCalculator","Automation","难度计算器","Automation","難易度計算機","Automation","난이도 계산기","Automation","Калькулятор сложности","Automation","เครื่องคํานวนความยาก","Automation","Zorluk Hesaplayıcı","Automation","困難度計算器","Automation","Kalkulator Trudności","Automation"
,,"Inactive",,"PlayerGui.BG.DetailedBeatmapInformation.MainFrame.MainFrame.DifficultyData.FlashlightDifficulty.Data","Không hoạt động","Automation","Tidak aktif","Automation","Inattivo","Automation","Inactivo","Automation","Inativo","Automation","Inactif","Automation","Inaktiv","Automation","不活跃","Automation","非アクティブ","Automation","비활성","Automation","Неактивный","Automation","ไม่ได้ใช้งาน","Automation","Aktif değil","Automation","停用","Automation","Nieaktywny","Automation"
,,"- Web favorite count:",,"PlayerGui.BG.DetailedBeatmapInformation.MainFrame.MainFrame.WebData.WebFavoriteCount.TextLabel","- [Web] Số lượng người yêu thích:","User","Hitungan favorit web:","Automation","- Conteggio dei preferiti web:","Automation","- Número de favoritos en la web:","Automation","- Contagem de favoritos da Web:","Automation","Nombre de favoris sur le Web:","Automation","Web-Favoritenanzahl:","Automation","- 网页收藏数:","Automation","- ウェブお気に入り数:","Automation","웹 즐겨찾기 수:","Automation","Количество любимых сайтов:","Automation","จํานวนเว็บโปรด:","Automation","Web favori sayısı:","Automation","網際網路最愛數量:","Automation","- Liczba ulubionych stron:","Automation"
,,"Base circle size",,"Workspace.__DEVELOPER_TEST.MainModule.GameInstance.StarterGui.Settings.SettingFrame.BaseFrame.MainLayer.SkinCustomize.Base.Circle.Base.BaseCircleSize.Display","Kích thước vòng tròn cơ sở","Automation","Ukuran lingkaran dasar","Automation","Dimensione del cerchio di base","Automation","Tamaño del círculo base","Automation","Tamanho do círculo base","Automation","Taille du cercle de base","Automation","Größe des Basiskreises","Automation","基础圆圈大小","Automation","ベースサークルのサイズ","Automation","베이스 서클 크기","Automation","Размер базового круга","Automation","ขนาดฐานวงกลม","Automation","Taban daire boyutu","Automation","底圈大小","Automation","Rozmiar kółka bazowego","Automation"
,,"Speed | -nan(ind)ps",,"PlayerGui.PlayScreen.PSEarned.DetailedDisplay.Speed","Tốc độ | -nan(ind)ps","Automation","Kecepatan | -nan(ind)ps","Automation","Velocità | -nan(ind)ps","Automation","Velocidad | -nan(ind)ps","Automation","Velocidade | -nan(ind)ps","Automation","Vitesse | -nan(ind)ps","Automation","Geschwindigkeit | -nan(ind)ps","Automation","速度 | -nan(ind)ps","Automation","スピード | -nan(ind)ps","Automation","속도 | -nan(ind)ps","Automation","Скорость | -nan(ind)ps","Automation","ความเร็ว | -nan(ind)ps","Automation","Hız | -nan(ind)ps","Automation","速度 | -nan(ind)ps","Automation","Prędkość | -nan(ind)ps","Automation"
,,"Player info",,"PlayerGui.MenuInterface.UserProfile.UserProfile.ProfilePage.Title.TextLabel","Thông tin người chơi","User","Info pemain","Automation","Informazioni Giocatore","Automation","Información del Jugador","Automation","Informações do jogador","Automation","Infos joueur","Automation","Spieler-Info","Automation","玩家信息","Automation","プレイヤー情報","Automation","플레이어 정보","Automation","Информация об игроке","Automation","ข้อมูลผู้เล่น","Automation","Oyuncu bilgisi","Automation","玩家資訊","Automation","Informacje o graczu","Automation"
","Automation","Panter_Canavarı","Automation","斑豹怪物","Automation","Potwór-Panter","Automation"
,,"country",,"PlayerGui._rankings._ez.main.main.TextLabel","quốc gia","Automation","negara","Automation","paese","Automation","país","Automation","país","Automation","pays","Automation","land","Automation","国家","Automation","国","Automation","국가","Automation","страна","Automation","ประเทศ","Automation","ülke","Automation","國家","Automation","kraj","Automation"
,,"[FL] Flashlight: Enabled",,"PlayerGui.BG.SettingsFrame.MainSettings.Flashlight","[FL] Đèn pin: Đã kích hoạt","Automation","[FL] Lampu senter: Diaktifkan","Automation","[FL] Torcia: abilitata","Automation","[FL] Linterna: Habilitada","Automation","[FL] Lanterna: Ativado","Automation","[FL] Lampe de poche: Activé","Automation","[FL] Taschenlampe: Aktiviert","Automation","[FL] 手电筒:启用","Automation","[FL] 懐中電灯:有効","Automation","[FL] 손전등: 활성화","Automation","[FL] Фонарик: Включен","Automation","[FL] ไฟฉาย: เปิดใช้งาน","Automation","[FL] El Feneri: Etkin","Automation","[FL] 手電筒:啟用","Automation","[FL] Latarka: Włączona","Automation"
,,"Score multiplier: {number1}x [Rankable]",,"PlayerGui.BG.SettingsFrame.MainSettings.ScoreMultiplier","Hệ số điểm: {number1}x [Được xếp hạng]","User","Pengganda Skor: {number1}x [Rankable]","Automation","Moltiplicatore punteggio: {number1}x [Rankable]","Automation","Multiplicador de Puntuación: {number1}x [Rankable]","Automation","Multiplicador de Pontuação: {number1}x [Rankable]","Automation","Multiplicateur de score: {number1}x [Rankable]","Automation","Punktzahlmultiplikator: {number1}x [Rangbar]","Automation","得分乘数:{number1}x [可排名]","Automation","スコア乗算数:{number1}x [ランク可能]","Automation","점수 승수: {number1}x [랭크 가능]","Automation","Множитель очков: {number1}x [Ранговый]","Automation","ตัวคูณคะแนน: {number1}x [Rankable]","Automation","Skor çarpanı: {number1}x [Sınıflandırılabilir]","Automation","分數乘數:{number1}x [可排名]","Automation","Mnożnik wyniku: {number1}x [Rankowalny]","Automation"
,,"Select",,"PlayerGui.PlayScreen.OsuGame.BeatmapChooseUI.BeatmapFrame.Frame.SelectButton","Chọn","Automation","Pilih","Automation","Seleziona","Automation","Seleccionar","Automation","Selecionar","Automation","Sélectionner","Automation","Auswählen","Automation","选择","Automation","選択","Automation","선택","Automation","Выберите","Automation","เลือก","Automation","Seç","Automation","選擇","Automation","Wybierz","Automation"
,,"Yukiyo's Insane mapped by Yukiyo",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Yukiyo's Insane được Yukiyo ánh xạ","Automation","Yukiyo's Insane dipetakan oleh Yukiyo","Automation","Insane di Yukiyo mappato da Yukiyo","Automation","Yukiyo's Insane mapeado por Yukiyo","Automation","Insano de Yukiyo mapeado por Yukiyo","Automation","Insane de Yukiyo cartographié par Yukiyo","Automation","Yukiyos Irrsinn wurde von Yukiyo abgebildet","Automation","由Yukiyo映射的Yukiyo的疯狂","Automation","YukiyoさんがマッピングしたYukiyo's Insane","Automation","유키요가 지도한 유키요의 미치광이","Automation","Сумасшедший Юкиё нарисован Юкиё","Automation","Yukiyo's Insane ทําแผนที่โดย Yukiyo","Automation","Yukiyo'nun Çılgını Yukiyo tarafından eşleştirildi","Automation","由 Yukiyo 繪製的 Yukiyo's Insane","Automation","Szalony Yukiyo nakreślony przez Yukiyo","Automation"
,,"dqs{number1}'s Extra mapped by dqs{number2}",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Actual.Base.Diff.MainFrame.DifficultyInfo","Extra của dqs{number1} đã được map bởi dqs{number2}","Automation","Ekstra dqs{number1} dipetakan oleh dqs{number2}","Automation","Extra di dqs{number1} mappato da dqs{number2}","Automation","Extra de dqs{number1} mapeado por dqs{number2}","Automation","Extra do dqs{number1} mapeado por dqs{number2}","Automation","Extra de dqs{number1} mappé par dqs{number2}","Automation","dqs{number1}'s Extra wurde von dqs{number2} zugeordnet","Automation","dqs{number1} 的 Extra 已由 dqs{number2} 映射","Automation","dqs{number1}のExtraがdqs{number2}によってマッピングされました","Automation","dqs{number1}의 Extra가 dqs{number2}에 의해 매핑되었습니다.","Automation","Дополнительное отображение dqs{number1} от dqs{number2}","Automation","dqs{number1} ได้อัปเดต Extra โดย dqs{number2}","Automation","dqs{number1}'in Ekstra haritası dqs{number2} tarafından eşleştirildi","Automation","dqs{number1} 的額外被 dqs{number2} 映射","Automation","Dodatkowe mapowanie dqs{number1} przez dqs{number2}","Automation"
,,"Flamingo (WTN{number1} Remix)",,"PlayerGui.PlayScreen.MetaData.SongName","Lời bài hát: Flamingo (WN{number1} Remix)","Automation","Flamingo (WTN{number1} Remix)","Automation","Flamingo (WTN{number1} Remix)","Automation","Flamingo (WTN{number1} Remix)","Automation","Flamingo (WTN{number1} Remix)","Automation","Flamingo (Remix WTN{number1})","Automation","Flamingo (WTN{number1} Remix)","Automation","火烈鸟(WTN{number1}混音)","Automation","フラミンゴ(WTN{number1}リミックス)","Automation","플라밍고 (무게{number1} 리믹스)","Automation","Фламинго (WTN{number1} Ремикс)","Automation","นกฟลามิงโก (WTN{number1} Remix)","Automation","Flamingo (WTN{number1} Remix)","Automation","火焰(WTN{number1}混音)","Automation","Flamingo (Remiks WTN{number1})","Automation"
,,"Loading leaderboard...",,"PlayerGui.MenuInterface.PerfomanceLeaderboard.LoadingFrame.LoadingText","Đang tải bảng xếp hạng...","Automation","Memuat papan peringkat...","Automation","Caricamento classifica...","Automation","Cargando tabla de clasificación...","Automation","Carregando placar...","Automation","Chargement du classement...","Automation","Bestenliste wird geladen...","Automation","正在加载排行榜...","Automation","リーダーボードをロード中..。","Automation","순위표를 불러오는 중...","Automation","Загрузка таблицы лидеров...","Automation","กําลังโหลดกระดานผู้นํา...","Automation","Leaderboard yükleniyor...","Automation","正在載入排行榜...","Automation","Ładowanie tablicy wyników...","Automation"
